id,status,maxEntryPerUser,nftAddress,nftId,winner,extractedNumber,raisedInWei,raisedInEther,platformPercentage,requiredNFT,totalEntries,cancellingDate
430,"ended","250","0x86CC280D0BAC0BD4Ea38ba7d31e895Aa20Cceb4b","13428","0x65275CAa5Bb410377162427D60e03F495F691D63","108","238000000000000000","0.238","0","0x0000000000000000000000000000000000000000","119","fine non impostata"
431,"ended","75","0xE6d48bF4ee912235398b96E16Db6F310c21e82CB","238","0xEdaea384bCeDa72fC8330001574d6f37830Cd54C","27","780000000000000000","0.78","0","0x0000000000000000000000000000000000000000","57","fine non impostata"
432,"ended","75","0x47f3A38990ca12E39255E959F7D97fBE5906Afd4","3517","0x7Ea4EB75BeC5F74E3BE87a17DfB0d37Ab38b24A3","28","240000000000000000","0.24","0","0x0000000000000000000000000000000000000000","32","fine non impostata"
433,"ended","75","0x47f3A38990ca12E39255E959F7D97fBE5906Afd4","2199","0x0f31b471Aa454AfCD3D5a1bF215Af65DC4A2DFC4","33","256000000000000000","0.256","0","0x0000000000000000000000000000000000000000","34","fine non impostata"
434,"ended","75","0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36","4684","0x146Ca256Ba6BF97be769267eB4757F8E5521AD13","18","296000000000000000","0.296","0","0x0000000000000000000000000000000000000000","39","fine non impostata"
435,"ended","75","0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36","5065","0xCf9c03f8A8a3314F981A4827EDa578f5364b3721","21","200000000000000000","0.2","0","0x0000000000000000000000000000000000000000","27","fine non impostata"
436,"ended","75","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","1381","0xee14c3caE1B3E727DA44E71bAC690C2C43B82b63","16","256000000000000000","0.256","0","0x0000000000000000000000000000000000000000","35","fine non impostata"
437,"ended","75","0x19b86299c21505cdf59cE63740B240A9C822b5E4","5152","0xa25c5a3774a46F06c45D03E1E6A8fdfA881d4B62","0","1020000000000000000","1.02","0","0x0000000000000000000000000000000000000000","56","fine non impostata"
438,"ended","75","0x19b86299c21505cdf59cE63740B240A9C822b5E4","343","0xEeBC731d4316f431a47D0B1564e95fBFc74caC9b","20","1160000000000000000","1.16","0","0x0000000000000000000000000000000000000000","64","fine non impostata"
439,"ended","75","0x19b86299c21505cdf59cE63740B240A9C822b5E4","2577","0x0a24EDb30b12d570E74d69068B2Fb3F256762e51","21","1340000000000000000","1.34","0","0x0000000000000000000000000000000000000000","78","fine non impostata"
440,"ended","75","0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0","3019","0x508BD083e1A79fd046CbbA2Ad39c050ab2312F7E","4","940000000000000000","0.94","0","0x0000000000000000000000000000000000000000","54","fine non impostata"
441,"ended","75","0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0","770","0x590B13ab25877d8B12A9E45Df9aaB9A2AE382ed4","1","1220000000000000000","1.22","0","0x0000000000000000000000000000000000000000","65","fine non impostata"
442,"ended","75","0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0","936","0x6146513712AD764EFF0cb05Be94ad799D21BC12c","39","1240000000000000000","1.24","0","0x0000000000000000000000000000000000000000","70","fine non impostata"
443,"ended","75","0x892848074ddeA461A15f337250Da3ce55580CA85","5165","0x56A564Fba543E0f04b74838cc67FD2F2241f1A4D","19","1595000000000000000","1.595","0","0x0000000000000000000000000000000000000000","63","fine non impostata"
444,"ended","50","0x684E4ED51D350b4d76A3a07864dF572D24e6dC4c","2739","0xA8899aC371824DD4741C849984dEa376A69F8579","21","208000000000000000","0.208","0","0x0000000000000000000000000000000000000000","27","fine non impostata"
445,"ended","50","0xC9d198089D6c31d0Ca5Cc5B92C97a57A97BBfdE2","6831","0xA93B0DDF78c4527D0A25AC34bBC42a0bF89811eA","2","160000000000000000","0.16","0","0x0000000000000000000000000000000000000000","16","fine non impostata"
